name,affinity
antivir2806,-5.8
antivir2759,-6.3
antivir272,-6.6
antivir2234,-5.3
antivir3466,-5.9
antivir3234,-5.8
antivir475,-6.1
antivir696,-6.6
antivir3874,-7.3
antivir3197,-5.2
antivir1057,-6.9
antivir3042,-4.5
antivir1001,-7.0
antivir691,-5.7
antivir1101,-5.9
antivir3190,-5.6
antivir2958,-6.7
antivir1927,-5.9
antivir558,-5.3
antivir3598,-6.5
antivir2445,-6.3
antivir3192,-4.8
antivir3226,-5.7
antivir2764,-6.6
antivir419,-6.0
antivir787,-6.7
antivir2818,-5.4
antivir342,-6.1
antivir3469,-5.7
antivir3794,-5.8
antivir2929,-5.9
antivir267,-6.3
antivir3056,-6.5
antivir3048,-5.6
antivir1839,-6.7
antivir319,-5.4
antivir322,-5.8
antivir1945,-6.5
antivir371,-6.7
antivir539,-5.8
antivir435,-6.6
antivir2129,-5.3
antivir66,-6.3
antivir445,-7.0
antivir3162,-5.9
antivir515,-6.2
antivir3623,-5.8
antivir3232,-5.7
antivir650,-6.1
antivir2955,-6.5
antivir3087,-4.9
antivir2459,-5.8
antivir3670,-5.8
antivir465,-6.0
antivir3032,-6.3
antivir1943,-6.7
antivir169,-6.5
antivir1470,-5.8
antivir2448,-5.9
antivir2632,-5.8
antivir1622,-5.9
antivir3183,-5.1
antivir3328,-5.5
antivir1854,-6.2
antivir3930,-6.7
antivir735,-5.4
antivir2205,-5.4
antivir82,-6.1
antivir2206,-6.4
antivir836,-6.5
antivir3633,-6.4
antivir3027,-5.4
antivir14,-6.6
antivir1065,-5.7
antivir2984,-6.8
antivir1662,-6.5
antivir2343,-6.4
antivir3933,-6.7
antivir2087,-6.2
antivir320,-6.4
antivir2816,-6.7
antivir2109,-6.5
antivir3901,-7.2
antivir1047,-6.5
antivir80,-6.7
antivir3660,-5.8
antivir336,-5.7
antivir1460,-5.9
antivir2746,-6.0
antivir3576,-5.9
antivir2219,-6.8
antivir1096,-7.0
antivir65,-5.2
antivir3221,-5.8
antivir526,-5.7
antivir1445,-6.3
antivir3503,-5.8
antivir1853,-6.1
antivir3662,-6.1
antivir1947,-6.3
antivir3493,-5.8
antivir1562,-6.7
antivir2789,-5.9
antivir417,-5.7
antivir3277,-5.8
antivir3279,-6.0
antivir99,-7.1
antivir1019,-5.6
antivir1176,-5.9
antivir2130,-5.2
antivir3323,-6.2
antivir398,-5.8
antivir3587,-6.8
antivir2357,-6.0
antivir2457,-6.0
antivir141,-7.4
antivir2538,-6.6
antivir255,-6.3
antivir1949,-6.0
antivir166,-7.2
antivir3690,-6.3
antivir2735,-5.8
antivir2921,-6.4
antivir948,-4.0
antivir1064,-5.7
antivir1189,-6.3
antivir216,-7.8
antivir706,-5.0
antivir2081,-6.4
antivir1286,-5.5
antivir2239,-5.7
antivir2616,-5.3
antivir483,-6.9
antivir2326,-6.0
antivir677,-5.8
antivir207,-6.3
antivir3665,-5.2
antivir2127,-6.4
antivir593,-6.4
antivir1806,-5.5
antivir172,-6.6
antivir2791,-5.8
antivir2896,-6.0
antivir2062,-6.5
antivir2150,-6.3
antivir3229,-5.3
antivir1506,-5.7
antivir1029,-7.0
antivir1227,-6.6
antivir443,-6.8
antivir3801,-6.0
antivir1788,-6.8
antivir1035,-6.0
antivir1744,-5.7
antivir982,-5.0
antivir2788,-5.9
antivir2751,-5.9
antivir1510,-6.1
antivir3809,-6.1
antivir1824,-6.6
antivir1389,-6.5
antivir2777,-5.9
antivir2980,-5.1
antivir1817,-6.1
antivir1641,-6.9
antivir3245,-5.5
antivir2322,-6.3
antivir2101,-6.8
antivir1426,-6.8
antivir3052,-6.4
antivir2091,-6.1
antivir2395,-5.6
antivir313,-6.6
antivir1340,-6.9
antivir3240,-5.9
antivir956,-6.1
antivir299,-5.8
antivir3174,-5.9
antivir2223,-6.9
antivir1380,-5.6
antivir687,-6.2
antivir496,-6.0
antivir2560,-5.4
antivir804,-6.5
antivir1438,-6.2
antivir3790,-7.1
antivir661,-5.4
antivir3517,-5.8
antivir180,-7.9
antivir3019,-5.6
antivir1880,-6.2
antivir2853,-5.8
antivir2670,-6.2
antivir198,-6.5
antivir155,-6.5
antivir3287,-5.9
antivir2311,-6.5
antivir888,-6.5
antivir3846,-6.2
antivir2780,-5.9
antivir3431,-6.0
antivir2398,-6.0
antivir824,-6.3
antivir2695,-6.0
antivir2707,-7.5
antivir3831,-6.3
antivir2589,-6.1
antivir1889,-6.2
antivir2736,-6.8
antivir3217,-5.9
antivir726,-5.1
antivir784,-5.5
antivir2290,-5.6
antivir3918,-6.4
antivir3813,-5.8
antivir1479,-5.9
antivir2758,-5.1
